"id","execution","openi","closedi","openp","closedp"
"3","2022-06-09 08:19:04","806","13169","217","22837"
"4","2022-06-10 10:07:30","806","13169","215","22840"
"7","2022-06-11 12:06:16","807","13169","219","22840"
"8","2022-06-12 20:59:00","807","13169","202","22859"
"11","2022-06-13 15:46:03","808","13170","203","22860"
"13","2022-06-14 06:09:12","809","13170","202","22861"
"14","2022-06-15 06:18:39","812","13171","207","22867"
"15","2022-06-16 06:22:45","809","13176","208","22872"
"16","2022-06-17 06:17:54","808","13180","205","22880"
"17","2022-06-18 06:44:08","805","13183","212","22881"
"18","2022-06-19 06:16:31","804","13184","189","22906"
"19","2022-06-20 06:55:53","804","13187","194","22911"
"21","2022-06-21 06:23:43","801","13191","183","22925"
"22","2022-06-22 09:24:20","801","13196","186","22926"
"23","2022-06-23 06:19:56","798","13202","184","22933"
"25","2022-06-24 06:16:56","797","13204","183","22936"
"26","2022-06-25 05:54:11","799","13206","181","22939"
"27","2022-06-26 05:40:24","800","13207","185","22939"
"28","2022-06-27 05:41:01","800","13208","187","22941"
"29","2022-06-28 05:41:02","797","13213","183","22954"
"30","2022-06-29 05:42:02","790","13225","179","22967"
"31","2022-06-30 05:43:02","792","13228","182","22969"
"32","2022-07-01 05:44:01","793","13230","178","22978"
"33","2022-07-02 05:44:01","793","13232","176","22983"
"34","2022-07-03 05:44:02","796","13232","177","22986"
"35","2022-07-04 05:45:02","798","13234","169","23000"
"36","2022-07-05 05:45:03","797","13236","171","23003"
"37","2022-07-06 05:46:01","796","13239","170","23008"
"38","2022-07-07 05:46:02","800","13240","169","23011"
"39","2022-07-08 05:46:02","798","13241","170","23013"
"40","2022-07-09 05:52:05","793","13246","171","23013"
"41","2022-07-10 05:53:03","793","13247","171","23013"
"42","2022-07-11 05:54:04","796","13247","172","23014"
"43","2022-07-12 05:55:01","798","13247","169","23019"
"44","2022-07-13 05:55:01","802","13248","168","23023"
"45","2022-07-14 05:55:01","802","13250","165","23030"
"46","2022-07-15 05:55:01","803","13252","166","23031"
"47","2022-07-16 05:55:02","807","13252","167","23032"
"48","2022-07-17 05:56:01","806","13254","169","23034"
"49","2022-07-18 05:56:02","807","13254","170","23034"
"50","2022-07-19 05:57:02","809","13255","171","23034"
"51","2022-07-20 05:57:02","809","13259","174","23035"
"52","2022-07-21 05:58:02","809","13263","179","23035"
"53","2022-07-22 05:59:01","807","13265","176","23042"
"54","2022-07-23 05:59:01","808","13265","174","23044"
"55","2022-07-24 05:59:02","808","13265","175","23044"
"56","2022-07-25 06:00:02","806","13268","175","23044"
"57","2022-07-26 06:00:02","805","13271","175","23045"
"58","2022-07-27 06:01:02","806","13271","176","23049"
"59","2022-07-28 06:02:01","806","13271","176","23049"
"60","2022-07-29 06:02:01","810","13271","178","23049"
"61","2022-07-30 06:02:02","808","13274","172","23057"
"62","2022-07-31 06:02:02","811","13275","174","23057"
"63","2022-08-01 06:02:02","814","13276","182","23058"
"64","2022-08-02 06:02:02","813","13278","183","23063"
"65","2022-08-03 06:02:03","814","13280","188","23063"
"66","2022-08-04 06:03:03","819","13283","189","23069"
"67","2022-08-05 06:04:01","817","13285","197","23069"
"68","2022-08-06 06:04:01","817","13287","198","23070"
"69","2022-08-07 06:04:01","817","13287","200","23070"
"70","2022-08-08 06:04:01","815","13290","202","23073"
"71","2022-08-09 06:04:01","814","13294","207","23075"
"72","2022-08-10 06:04:01","814","13297","204","23079"
"73","2022-08-11 06:04:01","811","13301","208","23079"
"74","2022-08-12 06:04:01","813","13301","209","23079"
"75","2022-08-13 06:04:04","820","13301","214","23082"
"76","2022-08-14 06:05:02","818","13303","213","23084"
"77","2022-08-15 06:05:04","818","13304","216","23086"
"78","2022-08-16 06:06:01","811","13314","216","23090"
"79","2022-08-17 06:06:01","818","13317","223","23090"
"80","2022-08-18 06:06:01","815","13329","223","23103"
"81","2022-08-19 06:06:01","818","13335","225","23114"
"82","2022-08-20 06:06:02","819","13337","227","23117"
"83","2022-08-21 06:07:02","817","13340","225","23119"
"84","2022-08-22 06:08:01","816","13343","230","23119"
"85","2022-08-23 06:08:01","820","13346","230","23123"
"86","2022-08-24 06:08:02","763","13407","240","23123"
"87","2022-08-25 06:08:02","755","13417","247","23128"
"88","2022-08-26 06:09:01","745","13428","250","23129"
"89","2022-08-27 06:09:02","725","13449","260","23130"
"90","2022-08-28 06:10:01","713","13462","264","23131"
"91","2022-08-29 06:10:02","705","13472","266","23133"
"92","2022-08-30 06:11:01","709","13473","273","23133"
"93","2022-08-31 06:11:01","715","13476","276","23133"
"94","2022-09-01 06:11:01","716","13479","261","23152"
"95","2022-09-02 06:11:02","715","13485","259","23159"
"96","2022-09-03 06:12:01","719","13485","258","23163"
"97","2022-09-04 06:12:02","720","13486","257","23166"
"98","2022-09-05 06:12:02","719","13491","257","23167"
"99","2022-09-06 06:13:01","724","13499","245","23180"
"100","2022-09-07 06:13:04","724","13503","224","23207"
"101","2022-09-08 06:14:02","722","13506","221","23213"
"102","2022-09-09 06:14:02","726","13506","224","23198"
"103","2022-09-10 06:15:01","727","13506","225","23199"
"104","2022-09-11 06:15:02","727","13506","227","23199"
"105","2022-09-12 06:16:01","727","13507","226","23202"
"106","2022-09-13 06:17:01","730","13508","226","23205"
"107","2022-09-14 06:17:01","729","13511","227","23210"
